"","X","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"39",57,"Joe Burrow","QB","CIN",342,19.3,1.03,320,371,28.5,38.8,23.9,39,51,62,6,3,54.8,16.5,14,316,26,-9999
"40",58,"Dak Prescott","QB","DAL",341,17.2,5.85,316,363,27.5,34.9,15.5,40,55,72,7,3,67.7,11.2,6,316,25,-9999
"41",66,"Jake Ferguson","TE","DAL",144,8.94,1.8,130,154,22.6,28.9,10.7,41,68,82,9,4,95.1,5.68,1,121,23,-27
"42",75,"Brandon Aubrey","K","DAL",161,13.8,3.26,139,181,16.5,6.14,26.9,42,93,54,1,1,121,3.06,52,139,22,-9999
"43",32,"Deebo Samuel","WR","SF",212,26.2,2.67,191,264,44.1,46,68.5,43,42,21,9,5,33,22.6,70,191,21,41
"44",69,"David Njoku","TE","CLE",142,10,10.6,131,157,20.8,30.4,14.4,43,66,75,10,5,87.2,7.08,3,121,21,-29
"45",35,"Davante Adams","WR","LVR",210,18.1,1.87,188,234,41.4,42.8,38.4,45,47,42,10,5,26.8,37.7,35,191,19,39
"46",68,"Anthony Richardson","QB","IND",335,25.1,1.61,304,377,21.6,23,30,45,74,50,8,3,53.2,15.9,34,316,19,-9999
"47",80,"Justin Tucker","K","BAL",157,4.48,4.73,150,164,13.3,17.5,9.54,47,79,84,2,1,108,4.63,1,139,18,-9999
"48",38,"Chris Olave","WR","NO",208,7.67,2.93,196,219,39.5,50.9,23.7,48,39,63,11,5,30.3,27.1,1,191,17,37
"49",70,"Jordan Love","QB","GB",333,28.1,3.46,297,374,20,15.6,26.9,48,82,53,9,3,77.5,10.6,51,316,17,-9999
"50",42,"Nico Collins","WR","HOU",205,16,0.568,186,228,36.6,40.9,32.8,50,49,48,12,5,45.8,17.9,28,191,14,34
"51",74,"Kyler Murray","QB","ARI",330,20.4,3.88,296,352,16.5,14.4,5.03,50,83,88,10,4,83.5,12.5,20,316,14,-9999
"52",84,"Harrison Butker","K","KC",153,7.06,1.87,145,164,8.53,11.7,9.73,50,88,83,3,1,120,2.92,10,139,14,-9999
"53",43,"Mike Evans","WR","TB",204,9.74,2.08,193,220,36,47.8,24.7,53,40,59,13,5,40.8,23.3,1,191,13,33
"54",34,"Aaron Jones","RB","MIN",185,15.5,2.01,168,206,41.6,66.7,36.3,54,27,45,18,6,55.9,19.8,9,173,12,14
"55",90,"Younghoe Koo","K","ATL",151,16.5,4.25,139,182,6.66,6.4,27.8,54,92,52,4,2,140,1.69,58,139,12,-9999
"56",46,"Marvin Harrison Jr.","WR","ARI",202,14.4,3.14,185,217,34,39.9,21.3,56,50,65,14,5,22.4,47.6,15,191,11,31
