"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Jaelan Phillips","DL","MIA",39.2,5.23,0.175,35.9,43.1,-3.64,-4.19,-2.8,158,155,148,19,"4",NA,6.34,55
"Jaelan Phillips","DL","MIA",39.2,5.23,0.175,35.9,43.1,-3.64,-4.19,-2.8,158,155,148,19,"4",NA,6.34,83
"DeForest Buckner","DL","IND",39.1,10.6,0.273,31.3,45.8,-3.82,-8.81,-0.0273,159,199,132,20,"4",NA,4.37,72
"Jordyn Brooks","LB","MIA",85.4,5.16,0.407,82.1,89.2,-3.86,-5.19,-1.79,160,168,141,14,"3",NA,7.78,37
"Dak Prescott","QB","DAL",278,13.8,6.58,259,297,-3.9,-4.99,-11.5,161,165,231,15,"5",90.4,8.72,63
"Younghoe Koo","K","ATL",143,8.94,0.922,133,156,-4.02,-4.6,-1.09,162,161,139,13,"1",162,1.39,45
"Alex Highsmith","DL","PIT",38.8,4.24,0.0486,36.1,41.9,-4.09,-4,-3.97,163,152,158,21,"4",NA,6.79,23
"Alex Highsmith","DL","PIT",38.8,4.24,0.0486,36.1,41.9,-4.09,-4,-3.97,163,152,158,21,"4",NA,6.79,69
"Nick Bosa","DL","SF",38.7,3.46,0.579,36.2,40.9,-4.14,-3.88,-4.92,164,151,172,22,"4",NA,12.1,6
"Alex Singleton","LB","DEN",85,4.31,0.0126,81.8,87.7,-4.27,-5.46,-3.23,165,173,154,15,"3",NA,10.4,36
"Alex Anzalone","LB","DET",85,3.11,0.678,82.7,87,-4.28,-4.59,-4.01,166,160,160,16,"3",NA,6.22,47
"Nick Cross","DB","IND",85.2,7.99,0.166,80.1,91.1,-4.32,-4.15,-7.15,167,154,195,16,"3",NA,8.66,39
"Trevon Moehrig","DB","CAR",85.1,9.26,0.131,79.1,91.9,-4.49,-5.13,-6.38,168,167,188,17,"3",NA,6.74,47
"Byron Murphy","DB","MIN",84.9,6.01,0.27,81.1,89.4,-4.62,-3.17,-8.9,169,149,206,18,"3",NA,5.4,67
"Jermaine Johnson","DL","NYJ",38.2,0.99,0.659,37.4,38.8,-4.72,-2.64,-7.08,170,148,194,23,"4",NA,NA,21
"Jermaine Johnson","DL","NYJ",38.2,0.99,0.659,37.4,38.8,-4.72,-2.64,-7.08,170,148,194,23,"4",NA,NA,54
"Derwin James","DB","LAC",84.7,2.55,0.444,83,86.5,-4.89,-1.23,-11.7,171,139,234,19,"3",NA,12.4,4
"Tyler Loop","K","BAL",142,4.38,1.93,133,145,-4.94,-4.46,-12.6,172,159,243,14,"2",164,1.95,58
"Logan Wilson","LB","CIN",84.3,10.3,0.431,76.8,90.8,-4.96,-10.5,-0.118,173,212,134,17,"3",NA,9.7,49
"Vikings","DST","MIN",90.3,4.38,0.978,86.3,98.5,-5.01,0,-8,174,130,199,5,"5",138,1.51,1
"Rhamondre Stevenson","RB","NE",143,24.2,7.09,112,176,-5.08,-1.54,-10.1,175,142,216,36,"10",116,4.29,55
"Jeremy Chinn","DB","LVR",84.2,3.39,0.158,82.1,86.7,-5.33,-2.21,-11.5,176,144,232,20,"3",NA,6.58,5
"Will Anderson","DL","HOU",37.5,6.86,0.699,33.1,42.5,-5.38,-6.96,-3.34,177,181,155,24,"4",NA,9.36,35
