"","X","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"1",1,"Christian McCaffrey","RB","SF",316,19,42.4,295,345,146,142,141,1,1,1,1,1,1.36,69.7,6,171,145,141
"2",2,"Breece Hall","RB","NYJ",274,27.3,5.7,247,313,103,94,109,2,2,4,2,1,4.98,57.2,48,171,103,99
"3",3,"Bijan Robinson","RB","ATL",268,26.7,19.3,238,301,97.6,85.4,96.7,3,4,5,3,2,5.19,59,42,171,97,93
"4",4,"CeeDee Lamb","WR","DAL",287,24.1,8.85,263,334,96.4,90.8,124,4,3,2,1,1,3.88,59.8,36,191,96,112
"5",5,"Tyreek Hill","WR","MIA",278,22.4,24.3,247,321,87.5,75.4,111,5,5,3,2,2,4.02,62.1,30,191,87,103
"6",7,"Saquon Barkley","RB","PHI",249,33.1,1.1,214,296,78.4,60.7,92.2,6,13,9,4,2,10.6,49.3,75,171,78,74
"7",6,"Josh Allen","QB","BUF",393,29.5,5.74,350,434,79.6,69.1,86.8,7,7,10,1,1,25.2,31.2,17,316,77,-9999
"8",8,"Jonathan Taylor","RB","IND",248,21,14.4,224,279,77.3,70.5,75.2,7,6,12,5,3,10.2,50.2,27,171,77,73
"9",9,"Jalen Hurts","QB","PHI",387,23.3,12.3,349,415,73.8,68,68.3,9,8,14,2,1,31.6,26,1,316,71,-9999
"10",12,"Amon-Ra St. Brown","WR","DET",254,27.1,0.478,224,305,63.2,52.6,95.1,10,17,7,3,2,7.5,54.6,53,191,63,79
"11",13,"Jahmyr Gibbs","RB","DET",233,31.8,0.459,201,290,62.9,48.4,86.5,11,19,11,6,3,15.2,42.7,68,171,62,58
"12",14,"Justin Jefferson","WR","MIN",253,26.3,0.883,230,304,62.7,58.1,93.4,11,15,8,4,2,8.64,54.4,59,191,62,78
"13",15,"Kyren Williams","RB","LAR",233,25.1,9.93,206,277,62.4,52.8,73.1,11,16,13,6,3,16.7,40.6,59,171,62,58
"14",16,"Ja'Marr Chase","WR","CIN",252,26.1,15.2,234,306,61.8,61.7,96,14,12,6,5,3,7.92,53.4,51,191,61,77
"15",10,"Sam LaPorta","TE","DET",183,14.9,0.367,164,205,63.9,65.4,61.5,15,10,18,1,1,34.2,24.3,26,124,59,8
"16",11,"Travis Kelce","TE","KC",183,17.2,12.9,164,209,63.6,65.5,66.3,15,9,15,1,2,29,31,35,124,59,8
"17",17,"Patrick Mahomes","QB","KC",375,25.8,17.8,344,410,61.5,63.6,63,15,11,17,3,2,28.9,27.4,11,316,59,-9999
"18",18,"Travis Etienne","RB","JAC",223,20.1,2.15,199,256,52.5,45.5,51.9,18,21,22,8,4,19.7,37.2,32,171,52,48
"19",20,"Josh Jacobs","RB","GB",221,25.6,3.65,198,259,50.3,45.1,55.4,19,23,20,9,4,29.2,31.1,61,171,50,46
"20",19,"Mark Andrews","TE","BAL",170,12.5,5.99,158,185,50.7,59.1,41.9,20,14,28,3,2,49.2,17.8,12,124,46,-5
"21",21,"Derrick Henry","RB","BAL",217,21,1.27,176,241,46.7,23.4,37.2,20,44,31,10,4,16.6,43.5,37,171,46,42
"22",22,"Puka Nacua","WR","LAR",237,19.9,2.43,217,266,46.6,45,56.2,20,24,19,6,3,16.4,40.2,39,191,46,62
"23",23,"Isiah Pacheco","RB","KC",216,14,4.22,196,235,45.4,43.3,31.6,23,25,36,11,4,19.9,37,4,171,45,41
"24",25,"A.J. Brown","WR","PHI",235,20.9,14,214,276,44.2,41.8,65.7,24,26,16,7,4,12.1,48.5,26,191,44,60
"25",26,"Lamar Jackson","QB","BAL",357,25.4,12,331,393,43.7,50.9,45.4,25,18,25,4,3,36.2,22.8,6,316,41,-9999
"26",27,"Devon Achane","RB","MIA",212,26.9,0.0718,181,256,41.2,28.4,52.5,25,37,21,12,4,26.5,28.5,65,171,41,37
"27",29,"Rachaad White","RB","TB",212,17.6,2.23,193,238,41.1,39.9,34.6,25,28,33,12,4,32.3,24.6,23,171,41,37
"28",24,"Trey McBride","TE","ARI",164,16.7,3.51,144,191,44.7,45.5,48.4,28,22,23,4,2,54.2,15.5,41,124,40,-11
"29",30,"James Cook","RB","BUF",209,25,1.91,182,247,38.9,28.8,43.5,29,36,27,14,4,32.7,25.2,56,171,38,34
"30",31,"Joe Mixon","RB","HOU",208,17.2,0.422,181,225,37,28.2,21.1,30,38,45,15,4,36.5,26.8,18,171,37,33
"31",28,"George Kittle","TE","SF",160,8.99,5.26,146,175,41.2,47.6,32.1,31,20,34,5,3,58.9,13,3,124,36,-15
"32",32,"Kenneth Walker III","RB","SEA",207,20,2.2,180,236,36.6,26.6,31.8,31,40,35,16,5,37.7,22,34,171,36,32
"33",34,"Alvin Kamara","RB","NO",205,15.5,17.6,179,228,34.4,26,24.3,33,41,43,17,6,44.6,23.6,20,171,34,30
"34",33,"Dalton Kincaid","TE","BUF",155,21.5,2.4,127,182,36,27.7,39.3,34,39,30,6,3,61,12.1,59,124,31,-20
