"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"230","Jordan Poyer","DB","BUF",93.4,13.1,0.454,85.7,108,-11.4,-4.57,-15.9,222,152,251,30,"2",NA,4.08,39
"231","Brandon Aubrey","K","DAL",129,15.1,0.541,108,151,-11.5,-20.7,-4.36,223,307,156,20,"3",159,1.78,87
"232","Sam LaPorta","TE","DET",96.8,13.8,3.97,75.1,115,-11.7,-22.3,-20.8,224,324,292,19,"7",145,3.83,60
"233","Kerby Joseph","DB","DET",93,17.9,0.0368,78,112,-11.9,-12.2,-12.1,225,223,209,31,"2",NA,NA,57
"234","Kyle Hamilton","DB","BAL",93,11.6,1.69,81.4,103,-11.9,-8.81,-21.5,226,189,298,32,"2",NA,NA,28
"235","Matt Gay","K","IND",129,7.93,0.764,119,141,-12,-9.8,-14,227,197,236,21,"3",176,1.71,23
"236","Darius Leonard","LB","IND",110,12.9,0.0442,101,125,-12.2,-0.35,-38,228,131,423,24,"1",NA,14.6,6
"237","Tremaine Edmunds","LB","CHI",110,32.9,1.06,90.7,148,-12.3,-10.4,-14.8,229,207,244,25,"2",NA,8.76,45
"238","Cairo Santos","K","CHI",128,9.89,1.04,116,144,-12.8,-12.9,-10.8,231,230,197,22,"3",170,0,45
"239","Demarcus Lawrence","DL","DAL",61.8,16.2,0.611,50.6,80.2,-12.8,-18,-10.6,230,282,194,30,"5",NA,NA,65
"240","Bengals","DST","CIN",83.5,8.84,0.222,68.9,91.9,-13.1,-16,-19.2,232,261,279,22,"12",171,0.5,32
"241","Giants","DST","NYG",83.3,8.73,0.712,68.2,92.4,-13.3,-16.7,-18.7,233,268,276,23,"13",180,0,52
"242","Ernest Jones","LB","LAR",109,40.9,0.187,82.9,156,-13.3,-18.2,-6.77,234,289,181,26,"2",NA,5.69,78
"243","ZaDarius Smith","DL","CLE",61.2,14,0.00616,51.5,77.2,-13.4,-17.1,-13.7,235,272,227,31,"5",NA,NA,53
"244","Javon Hargrave","DL","SF",61.2,14.7,0.0188,50.6,77.8,-13.4,-18,-13,236,283,218,32,"5",NA,4.8,56
"245","Dexter Lawrence","DL","NYG",61.1,26,0.14,46.4,91,-13.4,-22.1,0.145,237,322,129,33,"5",NA,5.81,95
"246","T.J. Edwards","LB","CHI",109,47.3,0.877,80.8,163,-13.5,-20.3,0.519,238,305,124,27,"2",NA,6.14,94
"247","Trey Hendrickson","DL","CIN",61,16.7,0.102,49.2,80,-13.6,-19.3,-10.8,239,300,198,34,"5",NA,NA,67
"248","Kenny Moore","DB","IND",91.3,1.63,0.265,90.2,92.5,-13.6,0,-31.9,240,130,374,33,"2",NA,5.64,1
"249","Chris Jones","DL","KC",60.9,0.141,0.922,60.8,61,-13.7,-7.74,-29.8,241,180,357,35,"6",NA,6.58,1
"250","Kaimi Fairbairn","K","HOU",127,5.1,0.316,120,133,-13.9,-8.46,-21.7,242,188,301,23,"3",170,0,10
"251","Jordan Fuller","DB","LAR",91,4.86,0.11,86.5,96.1,-13.9,-3.68,-28.2,243,147,348,34,"2",NA,2.04,7
"252","Titans","DST","TEN",82.6,7.3,0.469,70.2,92.5,-14,-14.7,-18.6,245,247,275,24,"13",170,0,42
